--- RAW OCR RESULTS ---
XY:[np.int32(289), 0]  conf:0.86  'Examination Assignment List with Friends'
XY:[np.int32(64), np.int32(642)]  conf:0.62  '13.'
XY:[np.int32(198), np.int32(642)]  conf:1.00  '117'
XY:[np.int32(382), np.int32(642)]  conf:0.81  'Hamza'
XY:[np.int32(589), np.int32(641)]  conf:0.87  'Artificial Intelligence'
XY:[np.int32(959), np.int32(639)]  conf:0.47  'Zaid, Fasih; Hamad'
XY:[np.int32(64), np.int32(688)]  conf:0.92  '14.'
XY:[np.int32(198), np.int32(688)]  conf:1.00  '118'
XY:[np.int32(380), np.int32(686)]  conf:0.70  'Hamad'
XY:[np.int32(589), np.int32(683)]  conf:0.96  'Artificial Intelligence'
XY:[np.int32(949), np.int32(685)]  conf:0.62  'Mahad, Mustafa, Saif'
XY:[np.int32(64), np.int32(732)]  conf:0.99  '15.'
XY:[np.int32(198), np.int32(732)]  conf:1.00  '119'
XY:[np.int32(396), np.int32(732)]  conf:1.00  'Zaid'
XY:[np.int32(589), np.int32(729)]  conf:0.80  'Artificial Intelligence'
XY:[np.int32(949), np.int32(730)]  conf:0.68  'Umer; Hamza; Yaqub'
